time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation
2024-01-01 00:00:00,10.3,75,956.8,4.3,5,0.0
2024-01-01 01:00:00,8.7,79,956.3,5.9,11,0.0
2024-01-01 02:00:00,8.7,78,956.1,6.4,16,0.0
2024-01-01 03:00:00,10.6,69,956.8,4.0,5,0.0
2024-01-01 04:00:00,10.3,68,956.6,2.3,342,0.0
2024-01-01 05:00:00,8.7,72,956.1,2.4,333,0.0
2024-01-01 06:00:00,5.6,90,955.7,3.6,323,0.0
2024-01-01 07:00:00,5.9,87,956.4,5.1,321,0.0
2024-01-01 08:00:00,7.7,83,957.3,5.1,315,0.0
2024-01-01 09:00:00,11.3,72,958.3,4.9,287,0.0
2024-01-01 10:00:00,13.7,65,959.0,2.3,252,0.0
2024-01-01 11:00:00,15.7,59,958.8,3.3,257,0.0
2024-01-01 12:00:00,17.3,52,957.9,5.4,274,0.0
2024-01-01 13:00:00,18.2,48,957.1,7.6,278,0.0
2024-01-01 14:00:00,18.3,48,956.3,9.3,286,0.0
2024-01-01 15:00:00,17.7,50,955.8,10.6,288,0.0
2024-01-01 16:00:00,16.3,59,955.5,8.4,280,0.0
2024-01-01 17:00:00,12.7,75,954.8,7.0,291,0.0
2024-01-01 18:00:00,10.3,87,954.9,7.4,317,0.0
2024-01-01 19:00:00,9.2,88,955.3,4.8,347,0.0
2024-01-01 20:00:00,8.5,83,955.6,5.4,8,0.0
2024-01-01 21:00:00,8.2,76,955.7,7.2,6,0.0
2024-01-01 22:00:00,9.1,72,956.3,6.6,22,0.0
2024-01-01 23:00:00,7.6,81,955.8,8.1,32,0.0
2024-01-02 00:00:00,7.2,85,955.5,8.1,32,0.0
2024-01-02 01:00:00,8.6,79,955.5,5.8,22,0.0
2024-01-02 02:00:00,9.5,74,955.4,2.5,360,0.0
2024-01-02 03:00:00,9.0,74,955.2,1.1,342,0.0
2024-01-02 04:00:00,8.6,75,955.0,0.8,333,0.0
2024-01-02 05:00:00,8.2,76,954.9,1.9,338,0.0
2024-01-02 06:00:00,6.4,96,955.4,2.7,23,0.0
2024-01-02 07:00:00,6.8,94,955.9,3.6,53,0.0
2024-01-02 08:00:00,7.5,94,956.6,4.4,81,0.0
2024-01-02 09:00:00,8.6,92,957.3,4.0,95,0.0
2024-01-02 10:00:00,10.1,84,957.9,2.4,117,0.0
2024-01-02 11:00:00,12.5,74,957.9,3.8,163,0.0
2024-01-02 12:00:00,14.0,69,957.0,4.0,185,0.0
2024-01-02 13:00:00,15.3,64,956.1,3.1,201,0.0
2024-01-02 14:00:00,16.0,61,955.4,2.7,203,0.0
2024-01-02 15:00:00,16.1,61,955.0,2.9,173,0.0
2024-01-02 16:00:00,15.3,65,954.7,4.2,149,0.0
2024-01-02 17:00:00,12.9,76,954.4,6.0,123,0.0
2024-01-02 18:00:00,10.0,86,954.8,8.4,43,0.0
2024-01-02 19:00:00,9.1,88,955.3,10.4,76,0.0
2024-01-02 20:00:00,10.3,84,956.1,5.2,102,0.0
2024-01-02 21:00:00,9.5,88,955.7,1.1,360,0.0
2024-01-02 22:00:00,9.0,90,955.5,0.5,315,0.0
2024-01-02 23:00:00,8.6,91,955.5,1.3,304,0.0
2024-01-03 00:00:00,8.1,93,955.3,1.8,323,0.0
2024-01-03 01:00:00,6.8,100,955.3,2.6,16,0.0
2024-01-03 02:00:00,5.6,100,954.9,3.7,11,0.0
2024-01-03 03:00:00,5.8,100,954.8,3.6,360,0.0
2024-01-03 04:00:00,5.8,100,954.5,2.2,9,0.0
2024-01-03 05:00:00,6.3,99,954.8,1.5,346,0.0
2024-01-03 06:00:00,6.6,100,956.1,4.3,48,0.0
